Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ʔarṣ́	ʔarsˤ	HARS	wiktionary	earth	-
ḳarḳar	kˤarkˤar	KARKAR	wiktionary	earth	-
ʕapar	ʕapar	HAPAR	wiktionary	earth	-
ʔabn	ʔabn	HABN	wiktionary	stone	-
ṯ̣urr	θˤurr	TURR	wiktionary	flint	-
māy	maːj	MAY	wiktionary	water	-
nahar	nahar	NAHAR	wiktionary	river	-
palag	palaɡ	PALAG	wiktionary	stream	-
naḫl	naxl	NAKL	wiktionary	river_valley	-
tihām	tihaːm	TIHAM	wiktionary	sea	-
biʔr	biʔr	BIHR	wiktionary	spring	-
šamāy	ʃamaːj	SAMAY	wiktionary	heaven	-
śamš	ɬamʃ	LAMS	wiktionary	sun	-
warḫ	warx	WARK	wiktionary	moon	-
kabkab	kabkab	KABKAB	wiktionary	star	-
baraḳ	barakˤ	BARAK	wiktionary	lightning	-
ṯalg	θalɡ	TALG	wiktionary	snow	-
ʔiš	ʔiʃ	HIS	wiktionary	fire	-
yawm	jawm	YAWM	wiktionary	day	-
šaḥar	ʃaħar	SAHAR	wiktionary	dawn	-
šanat	ʃanat	SANAT	wiktionary	year	-
yamīn	jamiːn	YAMIN	wiktionary	right_hand	-
ʕiṣ̂	ʕisˤ	HIS	wiktionary	tree	-
ḳanay	kˤanaj	KANAY	wiktionary	cane	-
ḥinṭat	ħintˤat	HINTAT	wiktionary	wheat	-
duḫn	duxn	DUKN	wiktionary	millet	-
ṯūm	θuːm	TUM	wiktionary	garlic	-
karaṯ	karaθ	KARAT	wiktionary	leek	-
taʔinat	taʔinat	TAHINAT	wiktionary	fig	-
ṯawr	θawr	TAWR	wiktionary	bull	-
ʔalp	ʔalp	HALP	wiktionary	bull	-
ʕanz	ʕanz	HANS	wiktionary	goat	-
ḥimār	ħimaːr	HIMAR	wiktionary	donkey	-
ḫVnzīr	xanziːr	KANSIR	wiktionary	pig	-
kalb	kalb	KALB	wiktionary	dog	-
ṯaʕlab	θaʕlab	TAHLAB	wiktionary	fox	-
ʔayyal	ʔajjal	HAYYAL	wiktionary	fallow_deer	-
ʔarnab	ʔarnab	HARNAB	wiktionary	hare	-
pīl	piːl	PIL	wiktionary	elephant	-
dam	dam	DAM	wiktionary	blood	-
ʕaṯ̣m	ʕaθˤm	HATM	wiktionary	bone	-
mašk	maʃk	MASK	wiktionary	skin	-
kišād	kiʃaːd	KISAD	wiktionary	neck	-
libb	libb	LIBB	wiktionary	heart	-
kabid	kabid	KABID	wiktionary	liver	-
raḥim	raħim	RAHIM	wiktionary	womb	-
raʔš	raʔʃ	RAHS	wiktionary	head	-
muḫḫ	muxx	MUKK	wiktionary	brain	-
ʕayn	ʕajn	HAYN	wiktionary	eye	-
ʔuḏn	ʔuðn	HUDN	wiktionary	ear	-
ʔanp	ʔanp	HANP	wiktionary	nose	-
pay	paj	PAY	wiktionary	mouth	-
śapat	ɬapat	LAPAT	wiktionary	lip	-
lišān	liʃaːn	LISAN	wiktionary	tongue	-
šinn	ʃinn	SINN	wiktionary	tooth	-
śaʕr	ɬaʕr	LAHR	wiktionary	hair	-
ḏaḳan	ðakˤan	DAKAN	wiktionary	beard	-
yad	jad	YAD	wiktionary	hand	-
kapp	kapp	KAPP	wiktionary	palm	-
ḥupn	ħupn	HUPN	wiktionary	hollow_of_hand	-
katip	katip	KATIP	wiktionary	shoulder	-
rigl	riɡl	RIGL	wiktionary	foot	-
ʕaḳib	ʕakˤib	HAKIB	wiktionary	heel	-
ḳarn	kˤarn	KARN	wiktionary	horn	-
ḏanab	ðanab	DANAB	wiktionary	tail	-
napš	napʃ	NAPS	wiktionary	soul	-
ʔab	ʔab	HAB	wiktionary	father	-
ʔimm	ʔimm	HIMM	wiktionary	mother	-
ʔaḫw	ʔaxw	HAKW	wiktionary	brother	-
bin	bin	BIN	wiktionary	son	-
bint	bint	BINT	wiktionary	daughter	-
ʔanṯat	ʔanθat	HANTAT	wiktionary	woman	-
marʔ	marʔ	MARH	wiktionary	man	-
ḏakar	ðakar	DAKAR	wiktionary	male	-
mut	mut	MUT	wiktionary	husband	-
baʕl	baʕl	BAHL	wiktionary	owner	-
ʔakal	ʔakal	HAKAL	wiktionary	eating	-
šamn	ʃamn	SAMN	wiktionary	fat	-
dibš	dibʃ	DIBS	wiktionary	honey	-
šikar	ʃikar	SIKAR	wiktionary	alcoholic_drink	-
ḳamḥ	kˤamħ	KAMH	wiktionary	flour	-
laylay	lajlaj	LAYLAY	wiktionary	night	-
ḫass	xass	KASS	wiktionary	lettuce	-
wayn	wajn	WAYN	wiktionary	grape	-
bayt	bajt	BAYT	wiktionary	house	-
malik	malik	MALIK	wiktionary	king	-
ḥalīb	ħaliːb	HALIB	wiktionary	milk	-
šim	ʃim	SIM	wiktionary	name	-
šalām	ʃalaːm	SALAM	wiktionary	peace	-
gamal	ɡamal	GAMAL	wiktionary	camel	-
raḫil	raxil	RAKIL	wiktionary	ewe	-
ʔarṣ	ʔarsˤ	HARS	wiktionary	earth	-
ʔil	ʔil	HIL	wiktionary	god	-
ṭaʕm	tˤaʕm	TAHM	wiktionary	taste	-
ḳabr	kˤabr	KABR	wiktionary	to_bury	-
ʕankab	ʕankab	HANKAB	wiktionary	spider	-
gīd	ɡiːd	GID	wiktionary	tendon	-
ṣawar	sˤawar	SAWAR	wiktionary	neck	-
ʕVnḳ	ʕankˤ	HANK	wiktionary	neck	-
ḥVlḳ	ħalkˤ	HALK	wiktionary	throat	-
ṣ̂ilaʕ	sˤilaʕ	SILAH	wiktionary	rib	-
ṯ̣ahr	θˤahr	TAHR	wiktionary	back	-
ḳinn	kˤinn	KINN	wiktionary	buttocks	-
kariŝ	kariɬ	KARIL	wiktionary	stomach	-
ṭiḥāl	tˤiħaːl	TIHAL	wiktionary	spleen	-
ṯapr	θapr	TAPR	wiktionary	vulva	-
paḥl	paħl	PAHL	wiktionary	penis	-
gVlgVlat	ɡalɡalat	GALGALAT	wiktionary	skull	-
ḫVṭm	xatˤm	KATM	wiktionary	nose	-
