Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ane	ane	ANE	wiktionary_cat	-	-
apa	apa	APA	wiktionary_cat	-	-
apaʀat	apaʀat	APARAT	wiktionary_cat	-	-
api	api	API	wiktionary_cat	-	-
apon	apon	APON	wiktionary_cat	-	-
aʀu	aʀu	ARU	wiktionary_cat	-	-
baban	baban	BABAN	wiktionary_cat	-	-
bei	bei	BEI	wiktionary_cat	-	-
boʀok	boʀok	BOROK	wiktionary_cat	-	-
bubu	bubu	BUBU	wiktionary_cat	-	-
damʷa	damʷa	DAMA	wiktionary_cat	-	-
draʀaq	draʀaq	DRARAK	wiktionary_cat	-	-
(i-)au	(i-)au	IAU	wiktionary_cat	-	-
ikan	ikan	IKAN	wiktionary_cat	-	-
iʀup	iʀup	IRUP	wiktionary_cat	-	-
kamu	kamu	KAMU	wiktionary_cat	-	-
kapika	kapika	KAPIKA	wiktionary_cat	-	-
kaso	kaso	KASO	wiktionary_cat	-	-
kawaʀ	kawaʀ	KAWAR	wiktionary_cat	-	-
kayu	kaju	KAYU	wiktionary_cat	-	-
kuku	kuku	KUKU	wiktionary_cat	-	-
kuluʀ	kuluʀ	KULUR	wiktionary_cat	-	-
kutu	kutu	KUTU	wiktionary_cat	-	-
lalom	lalom	LALOM	wiktionary_cat	-	-
latoŋ	latoŋ	LATON	wiktionary_cat	-	-
layaʀ	lajaʀ	LAYAR	wiktionary_cat	-	-
laŋit	laŋit	LANIT	wiktionary_cat	-	-
laŋo	laŋo	LANO	wiktionary_cat	-	-
lima	lima	LIMA	wiktionary_cat	-	-
maqurip	maqurip	MAKURIP	wiktionary_cat	-	-
masakit	masakit	MASAKIT	wiktionary_cat	-	-
masawaŋ	masawaŋ	MASAWAN	wiktionary_cat	-	-
mata	mata	MATA	wiktionary_cat	-	-
maturuʀ	maturuʀ	MATURUR	wiktionary_cat	-	-
mañawa	maɲawa	MANAWA	wiktionary_cat	-	-
moñak	moɲak	MONAK	wiktionary_cat	-	-
namo	namo	NAMO	wiktionary_cat	-	-
nipon	nipon	NIPON	wiktionary_cat	-	-
niuʀ	niuʀ	NIUR	wiktionary_cat	-	-
nopuq	nopuq	NOPUK	wiktionary_cat	-	-
onom	onom	ONOM	wiktionary_cat	-	-
padran	padran	PADRAN	wiktionary_cat	-	-
pale	pale	PALE	wiktionary_cat	-	-
panaq	panaq	PANAK	wiktionary_cat	-	-
panas	panas	PANAS	wiktionary_cat	-	-
panua	panua	PANUA	wiktionary_cat	-	-
paqot	paqot	PAKOT	wiktionary_cat	-	-
paqoʀu	paqoʀu	PAKORU	wiktionary_cat	-	-
pasok	pasok	PASOK	wiktionary_cat	-	-
pat	pat	PAT	wiktionary_cat	-	-
patu	patu	PATU	wiktionary_cat	-	-
patuʀ	patuʀ	PATUR	wiktionary_cat	-	-
paʀane	paʀane	PARANE	wiktionary_cat	-	-
paʀu	paʀu	PARU	wiktionary_cat	-	-
pipiʀ	pipiʀ	PIPIR	wiktionary_cat	-	-
pituqun	pituqun	PITUKUN	wiktionary_cat	-	-
poñu	poɲu	PONU	wiktionary_cat	-	-
pudi	pudi	PUDI	wiktionary_cat	-	-
pukot	pukot	PUKOT	wiktionary_cat	-	-
pulaʀ	pulaʀ	PULAR	wiktionary_cat	-	-
pupuk	pupuk	PUPUK	wiktionary_cat	-	-
puqaya	puqaja	PUKAYA	wiktionary_cat	-	-
