Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ada	ada	ADA	wiktionary	a_fine	-
aha	axa	AKA	wiktionary	to_sit	-
aitata	aitata	AITATA	wiktionary	eight	-
ala	ala	ALA	wiktionary	beyond	-
alb	alb	ALB	wiktionary	white	-
amu	amu	AMU	wiktionary	i	-
cbatru	cbatru	KBATRU	wiktionary	daughter	-
da	da	DA	wiktionary	to_give	-
ddewe	ddewe	DDEWE	wiktionary	a_city	-
dezi	detsi	DETSI	wiktionary	strong	-
ebe	ebe	EBE	wiktionary	this	-
eke	eke	EKE	wiktionary	how	-
ene	ene	ENE	wiktionary	under	-
eni	eni	ENI	wiktionary	mother	-
epide	epide	EPIDE	wiktionary	ready	-
erite	erite	ERITE	wiktionary	he_won	-
esbedi	esbedi	ESBEDI	wiktionary	cavalry	-
esene	esene	ESENE	wiktionary	blood	-
hebeli	xebeli	KEBELI	wiktionary	a_river	-
hla	xla	KLA	wiktionary	to_glorify	-
hri	xri	KRI	wiktionary	above	-
hrppi	xrppi	KRPPI	wiktionary	for	-
izre	itsre	ITSRE	wiktionary	a_hand	-
kbatra	kbatra	KBATRA	wiktionary	daughter	-
kbi	kbi	KBI	wiktionary	two	-
ke	ke	KE	wiktionary	and	-
kiki	kiki	KIKI	wiktionary	to_beat	-
klusa	klusa	KLUSA	wiktionary	hostility	-
kride	kride	KRIDE	wiktionary	a_heart	-
kudi	kudi	KUDI	wiktionary	where	-
kumaza	kumatsa	KUMATSA	wiktionary	a_priest	-
lada	lada	LADA	wiktionary	wife	-
laka	laka	LAKA	wiktionary	a_battle	-
luga	luɡa	LUGA	wiktionary	to_burn_down	-
mahan	maxan	MAKAN	wiktionary	a_god	-
me	me	ME	wiktionary	here	-
miren	miren	MIREN	wiktionary	a_man	-
mla	mla	MLA	wiktionary	an_offspring	-
mukssa	mukssa	MUKSSA	wiktionary	a_prayer	-
ne	ne	NE	wiktionary	direct_object_particle	-
nei	nei	NEI	wiktionary	to_lead	-
neni	neni	NENI	wiktionary	brother	-
ni	ni	NI	wiktionary	not	-
nte	nte	NTE	wiktionary	in	-
pabrati	pabrati	PABRATI	wiktionary	to_turn_out	-
pdde	pdde	PDDE	wiktionary	a_place	-
pe	pe	PE	wiktionary	upon	-
pede	pede	PEDE	wiktionary	foot	-
pere	pere	PERE	wiktionary	forward	-
pije	pije	PIYE	wiktionary	to_give	-
plqqka	plkʷkʷka	PLKKKA	wiktionary	wide	-
pri	pri	PRI	wiktionary	over	-
prije	prije	PRIYE	wiktionary	high	-
prnna	prnna	PRNNA	wiktionary	a_house	-
prnnawa	prnnawa	PRNNAWA	wiktionary	to_build	-
qaja	kʷaja	KAYA	wiktionary	a_temple	-
qastto	kʷastto	KASTTO	wiktionary	destroy	-
qlahi	kʷlaxi	KLAKI	wiktionary	sanctuary	-
qlija	kʷlija	KLIYA	wiktionary	a_place_of_worship	-
qnza	kʷntsa	KNTSA	wiktionary	a_descendant	-
qretu	kʷretu	KRETU	wiktionary	let_him_destroy	-
sbirte	sbirte	SBIRTE	wiktionary	a_monument	-
si	si	SI	wiktionary	this	-
sla	sla	SLA	wiktionary	to_propitiate	-
slamati	slamati	SLAMATI	wiktionary	to_keep_memory	-
snta	snta	SNTA	wiktionary	one	-
ta	ta	TA	wiktionary	to_put	-
tabahaza	tabaxatsa	TABAKATSA	wiktionary	sky	-
tali	tali	TALI	wiktionary	a_priest	-
tawa	tawa	TAWA	wiktionary	eye	-
tedi	tedi	TEDI	wiktionary	a_father	-
teteri	teteri	TETERI	wiktionary	four	-
tewi	tewi	TEWI	wiktionary	evil	-
trbbi	trbbi	TRBBI	wiktionary	against	-
trei	trei	TREI	wiktionary	three	-
tri	tri	TRI	wiktionary	three	-
tuhes	tuxes	TUKES	wiktionary	nephew	-
tuta	tuta	TUTA	wiktionary	an_army	-
tuwa	tuwa	TUWA	wiktionary	two	-
uni	uni	UNI	wiktionary	that	-
uta	uta	UTA	wiktionary	a_priest	-
utetu	utetu	UTETU	wiktionary	to_bring	-
uwe	uwe	UWE	wiktionary	a_person	-
uwedri	uwedri	UWEDRI	wiktionary	a_community	-
wakssa	wakssa	WAKSSA	wiktionary	courage	-
wawa	wawa	WAWA	wiktionary	a_bull	-
wazala	watsala	WATSALA	wiktionary	a_warrior	-
wazzis	watstsis	WATSTSIS	wiktionary	an_army	-
wedri	wedri	WEDRI	wiktionary	a_city	-
xabe	xabe	KABE	wiktionary	a_river	-
xabwa	xabwa	KABWA	wiktionary	a_sheep	-
xnna	xnna	KNNA	wiktionary	a_mother	-
xnta	xnta	KNTA	wiktionary	first	-
zajala	tsajala	TSAYALA	wiktionary	a_criminal	-
zbali	tsbali	TSBALI	wiktionary	a_deity	-
ziw	tsiw	TSIW	wiktionary	god	-
zrigali	tsriɡali	TSRIGALI	wiktionary	a_warrior	-
zrqqi	tsrkʷkʷi	TSRKKI	wiktionary	to_fight	-
zusi	tsusi	TSUSI	wiktionary	zeus	-
